recno,Seq,Name,PapI,RSpec,Type,CHb,n_Ne-,Ne-,n_TOIII,TOIII,n_TNII,TNII,Excit,n_He,He,n_C,C,n_N,N,n_O,O,n_Ne,Ne,n_S,S,n_Ar,Ar,C/N,C/O,N/O,C+N,C+N+O
76,39,SMP_LMC_45,"    ",mea,I,0.14," ",1000," ",16300,:,16300,5.4," ",11.0," ",0.0,:,7.66,:,8.05,:,7.35,+,6.46,:,5.94,0.0,0.0,-0.39,7.66,8.19
77,40,SMP_LMC_46,"    ",mea,i,0.01," ",3900," ",14900,:,14900,6.1," ",10.91," ",0.0,:,8.07,:,8.28,:,7.54,+,6.78,:,5.98,0.0,0.0,-0.21,8.07,8.49
78,41,SMP_LMC_47,(P1),"   ",I,0.42," ",4800," ",14700," ",13400,6.6," ",11.09," ",8.56," ",8.69," ",8.25," ",7.54," ",7.5," ",6.13,-0.14,0.31,0.45,8.93,9.01
79,42,SMP_LMC_48,"    ","   ",i,0.25," ",1900," ",11300," ",8800,3.0," ",10.92," ",0.0,:,7.71," ",8.24," ",7.14," ",7.18,:,5.88,0.0,0.0,-0.53,7.71,8.35
80,43,SMP_LMC_49,"    ","   ",n,0.04," ",1000," ",13300," ",21600,6.0," ",11.05," ",0.0," ",7.6," ",8.33," ",7.48," ",7.63," ",6.05,0.0,0.0,-0.72,7.6,8.4
81,44,SMP_LMC_50,"    ",mea,n,0.0," ",3600," ",13700,:,13700,5.4," ",11.01," ",0.0,:,7.42,:,8.22,:,7.35,~,7.59,:,5.84,0.0,0.0,-0.8,7.42,8.28
82,45,SMP_LMC_51,"    ",mon,n,0.0,*,5000," ",12000,:,12000,4.5," ",11.01," ",0.0," ",7.48," ",8.32," ",7.25," ",6.2," ",0.0,0.0,0.0,-0.84,7.48,8.38
83,46,SMP_LMC_52,"    ",mea,n,0.02," ",2900," ",12000,*,12000,5.8," ",10.92," ",0.0,:,7.59,:,8.55,:,7.72,:,7.73,:,6.16,0.0,0.0,-0.96,7.59,8.59
84,47,SMP_LMC_53,(P1),"   ",i,0.37," ",4800," ",14100," ",13400,2.7," ",10.93,<,6.7," ",7.72," ",8.23," ",7.61," ",7.26," ",5.86,-1.02,-1.53,-0.51,7.76,8.35
85,48,SMP_LMC_54,(P1),"   ",I,0.11," ",400,~,11700," ",11700,9.3,~,11.1,<,8.14,:,8.84,:,8.74,:,8.08,:,7.84,:,6.63,-0.7,-0.59,0.11,8.92,9.14
86,49,SMP_LMC_55,"    ",mea,n,0.02,*,47400," ",12400," ",10100,0.7," ",10.82," ",0.0," ",7.27," ",8.4," ",6.8," ",6.44,:,5.76,0.0,0.0,-1.14,7.27,8.44
87,50,SMP_LMC_56,"    ",mea,n,0.0,*,5000," ",13100,:,13100,0.0,<,10.79," ",0.0,:,6.57,:,7.93,:,6.51,<,6.63,:,5.78,0.0,0.0,-1.36,6.57,7.95
88,51,SMP_LMC_58,"    ",mea,i,0.0,*,5000," ",12600,:,12600,0.0," ",10.97," ",0.0,:,7.58,:,8.1,:,7.09,+,7.98,:,5.83,0.0,0.0,-0.53,7.58,8.21
89,52,SMP_LMC_59,"    ","   ",I,1.04," ",200," ",15000," ",12400,8.6,~,11.05," ",0.0," ",8.49," ",8.52," ",8.09," ",7.12,:,6.2,0.0,0.0,-0.03,8.49,8.81
